Rating,AVG,OBP,SLG,PA,wOBA,OPS+,wRC,wRC+,BtR,BsR
BaseRunning,0.11173596500962314,0.09085308907019539,0.06657338447810777,0.08885599026918051,0.0644946139563424,0.04962440571053785,0.050219263851389244,0.05513141623539458,0.05064555753971453,0.08352766389194521
BattingEye,0.11974796051067771,0.3247043279834588,0.06898439522369669,0.10306215468467511,0.14907633734969372,0.1372289092445523,0.15362596499482545,0.13551524652452,0.15233176191282097,0.025787936104237238
Contact,0.16139716576176485,0.1454638517066271,0.08899890996925687,0.10467268555011683,0.10145903949644447,0.09139236743623985,0.10549707180422306,0.08890688858818994,0.10428902439550254,0.03142539377419002
Durability,,,,0.17527659933260012,0.051034760328841244,0.046245252598904586,0.05001121118505005,0.0489606646871374,0.04559281037210655,0.02618212555048701
Health,,,,0.08958455664191149,0.0592555953052607,0.04879818123952508,0.04689187006323601,0.05212138098826073,0.047133453222891905,0.02248207413456935
LH,0.13661564873798554,0.10241175879000926,0.07179175318880482,0.09945923649141837,0.07512372550067509,0.07009894560958391,0.06924236034981192,0.07468099683590274,0.07426830205688574,0.022580965002428875
Power,0.1079299856431467,0.08838268693822716,0.5198761738629195,0.10530186710196744,0.30169196705010437,0.3529020488238965,0.3157875526303652,0.27146729340825854,0.311743139914846,0.027655378459822823
RH,0.25214395239087445,0.1543067308950687,0.10785298942017917,0.12312020377908403,0.13104041194267296,0.14493477382181877,0.14896763831147633,0.15510280016864111,0.15558973861319628,0.025493431042968383
Speed,0.11042932194592772,0.0938775546164136,0.07592239385703518,0.11066670614904597,0.06682354906996495,0.058775115514941224,0.05975706680962285,0.11811331256369491,0.05840621197203557,0.7348650320393513
